Round,Home/ Away,Opponent,Result,Points,Field Goals,Penalty Goals,Goals,Tries,Conversions,Conversions Missed,Try Assists,Tries Conceded,Possesion %,Line Breaks,Line Break Assists,Offloads,All Runs,All Runs Metres,Tackles,Missed Tackles,Tackle Breaks,Total Kicks,Kicked Metres,Kick Return Metres,40/20 Kicks,Dummy Half Runs,Sin Bin,Sent Off,Penalties Conceded,Errors
1,H,Rabbitohs,L,10,0,0,1,2,1,1,2,8,49%,2,2,8,142,1069,354,22,27,16,321,0,0,2,0,0,6,6
2,A,Raiders,L,20,0,2,2,4,0,4,3,4,54%,4,3,6,163,1545,268,28,26,14,273,0,0,4,0,0,8,8
3,A,Cowboys,L,0,0,0,0,0,0,0,0,7,41%,3,1,7,147,1208,433,37,26,16,372,0,0,6,0,0,6,12
4,H,Sea Eagles,L,20,0,1,2,4,1,3,3,3,54%,3,2,11,185,1485,341,22,39,23,492,0,0,5,0,0,4,12
5,H,Warriors,L,28,0,2,6,4,4,0,4,6,48%,3,2,10,156,1256,319,29,34,14,313,0,0,4,0,0,7,12
6,A,Rabitohs,W,17,1,0,2,3,2,1,3,2,50%,3,3,9,179,1549,352,30,34,26,566,0,0,7,0,0,5,10
7,H,Panthers,L,16,0,0,2,3,2,1,3,3,48%,7,7,16,178,1628,371,29,46,19,385,0,0,11,0,0,6,13
8,A,Dragons,L,18,0,0,3,3,3,0,3,3,48%,3,4,18,186,1628,355,15,22,24,486,0,0,7,0,0,8,14
9,H,Knights,W,38,0,1,7,6,6,0,5,0,57%,5,2,15,206,1840,314,16,53,25,490,0,0,4,0,0,5,9
10,A,Titans,L,6,0,1,1,1,0,1,0,4,45%,1,1,9,154,1414,390,24,28,15,449,0,0,3,0,0,8,13
11,A,Bulldogs,L,20,0,0,2,4,2,2,3,5,44%,6,5,15,146,1337,345,17,24,14,316,0,0,8,1,0,8,14
13,H,Tigers,W,32,0,1,6,5,5,0,5,3,54%,4,4,10,186,1847,289,25,32,24,616,0,0,11,0,0,5,8
14,H,Storm,L,0,0,0,0,0,0,0,0,8,41%,0,0,10,144,1210,397,32,13,19,504,0,0,8,0,0,5,9
15,A,Warriors,L,10,0,0,1,2,1,1,2,1,45%,4,2,17,156,1478,357,33,28,17,432,0,0,9,0,0,10,10
17,H,Bulldogs,L,20,0,2,4,3,2,1,2,4,53%,3,3,19,192,1841,347,33,26,20,438,0,0,5,0,0,5,10
18,A,Eels,L,18,0,0,3,3,3,0,3,4,56%,3,2,10,186,1809,313,16,25,22,511,0,0,7,0,0,5,10
19,H,Sharks,L,20,0,0,2,4,2,2,2,6,51%,5,3,7,149,1441,294,16,30,14,197,0,0,4,1,0,4,10
20,A,Storm,L,10,0,0,1,2,1,1,2,4,47%,4,3,14,162,1504,389,23,31,22,519,0,0,6,0,0,7,12
21,H,Broncos,W,32,0,0,4,6,4,2,6,3,53%,4,4,18,184,1621,279,30,39,22,567,0,0,8,0,0,4,13
22,A,Panthers,L,18,0,0,3,3,3,0,3,7,44%,4,4,6,152,1405,364,35,28,19,363,0,0,5,0,0,7,9
23,H,Cowboys,W,22,0,0,3,4,3,1,4,2,53%,8,7,13,196,1842,331,27,45,24,551,0,0,8,0,0,7,9
24,H,Dragons,W,42,0,1,7,7,6,1,7,1,52%,8,8,14,188,1904,277,24,38,23,484,0,0,9,0,0,5,15
25,A,Sharks,L,12,0,1,2,2,1,1,1,6,42%,1,0,11,133,1151,381,36,29,15,328,0,0,4,0,0,13,12
26,A,Broncos,L,14,0,1,3,2,2,0,2,4,54%,2,1,13,171,1443,282,28,39,22,636,0,0,5,0,0,6,13
